Name,Country,Region,Website,Facebook,Instagram,LinkedIn,Github,X(Twitter),Meetup,Youtube,Mastodon,File
Addis Ababa,Ethiopia,EMEA,,https://www.facebook.com/pyladiesaddis/,,,,,,,,addis_ababa.png
Amsterdam,Netherlands,EMEA,https://amsterdam.pyladies.com/,,,https://www.linkedin.com/company/pyladies-amsterdam/,https://github.com/pyladiesams,https://twitter.com/PyLadiesAMS,https://www.meetup.com/PyLadiesAMS/,https://www.youtube.com/pyladiesamsterdam,,amsterdam.png
Ankara,Turkey,EMEA,,https://www.facebook.com/pyladiesankara,https://www.instagram.com/pyladiesankara/,https://www.linkedin.com/company/pyladiesankara/,,https://twitter.com/pyladiesankara,,https://www.youtube.com/c/PyLadiesAnkara,,ankara.png
Antananarivo,Madagascar,EMEA,,,,,https://github.com/PyladiesTNR,https://twitter.com/pyladiestnr,,,,antananarivo.png
Arequipa,Peru,LATAM,https://pyladiesaqp.blogspot.com/,https://www.facebook.com/aqp.pyladies/,https://www.instagram.com/aqp.pyladies/?hl=en,linkedin.com/company/pyladies-aqp,https://github.com/PyladiesAqp,https://twitter.com/pyladiesaqp,,,,arequipa.png
Argentina,Argentina,LATAM,,https://www.facebook.com/pyladiesarg,,,https://github.com/pyladiesargentina,https://www.twitter.com/pyladiesARG,,,,argentina.png
Asaba,Nigeria,EMEA,,https://www.facebook.com/asabapyladies/,,,,https://twitter.com/pyladiesasaba,,,,asaba.png
Baku,Azerbaijan,EMEA,,https://www.facebook.com/pyladiesbaku/,https://www.instagram.com/pyladiesbaku/,https://www.linkedin.com/company/pyladies-baku/,https://github.com/pyladiesbaku,,,,,baku.png
Bangalore,India,APAC,https://pyladiesblr.gitlab.io/pyladiesblr/,https://www.facebook.com/pyladiesblr/,,https://www.linkedin.com/company/pyladies-bangalore/,,https://twitter.com/pyladiesblr,https://www.meetup.com/pyladies-bangalore-chapter/,https://www.youtube.com/channel/UCRF8Cf4Ppe4OFed4zbgujjg,,bangalore.png
Bangkok,Thailand,APAC,https://pyladiesbkk.netlify.app/,https://www.facebook.com/pyladiesbkk/,,https://www.linkedin.com/company/pyladies-bangkok/about/,https://github.com/pyladiesbkk,https://twitter.com/pyladiesbkk,,https://www.youtube.com/channel/UCO7Yhj3212Yu7_1YUAdZoOg/videos,,bangkok.png
Berlin,Germany,EMEA,https://berlin.pyladies.com/,https://www.facebook.com/PyLadiesBerlin,,https://www.linkedin.com/in/pyladies-berlin-32879a18a/,https://github.com/PyLadiesBerlin,https://twitter.com/PyLadiesBer,https://www.meetup.com/pyladies-berlin/,https://www.youtube.com/user/PyLadiesBerlin,,berlin.png
Blumenau,Brazil,LATAM,,https://www.facebook.com/people/PyLadies-Blumenau/100068911285931/,https://www.instagram.com/pyladies_blumenau/?hl=en,https://www.linkedin.com/company/pyladies-blumenau/about/,https://github.com/pyladies-blumenau,https://twitter.com/pyladiesbnu,,,,blumenau.png
Boston,USA,,,,,,https://gitlab.com/groups/pyladies-boston?sort=created_asc,https://twitter.com/PyLadiesBoston,https://www.meetup.com/pyladies-boston/,,,boston.png
